"","year","iso3_o","iso3_d","dist","distw_harmonic","contig","comlang_off","comcol","col45","heg_o","heg_d","col_dep_ever","col_dep","gdp_o","gdp_d","pop_o","pop_d","comrelig","eu_o","eu_d","fta_wto","wto_o","wto_d"
"81",1995,"AFG","KOR",5137,5301,0,0,0,0,0,0,0,0,NA,559329574.912,17586.073,45092.991,0,0,0,0,0,1
"82",1995,"AFG","KWT",2079,1961,0,0,0,0,0,0,0,0,NA,27191687.168,17586.073,1586.123,0.944342970848083,0,0,0,0,1
"83",1995,"AFG","LAO",3784,3864,0,0,0,0,0,0,0,0,NA,1763536.256,17586.073,4871.472,0.00992999970912933,0,0,0,0,0
"84",1995,"AFG","LBN",3091,2987,0,0,0,0,0,0,0,0,NA,11718795.264,17586.073,3033.406,0.371381998062134,0,0,0,0,0
"85",1995,"AFG","LBR",8700,8599,0,0,0,0,0,0,0,0,NA,134800,17586.073,2079.921,0.210516005754471,0,0,0,0,0
"86",1995,"AFG","LBY",5125,4822,0,0,0,0,0,0,0,0,NA,25541380.096,17586.073,4747.619,0.974133014678955,0,0,0,0,0
"87",1995,"AFG","LKA",3246,3269,0,0,0,0,0,0,0,0,NA,13029697.536,17586.073,18136,0.0714960023760796,0,0,0,0,1
"88",1995,"AFG","LSO",8315,8239,0,0,0,0,0,0,0,0,NA,859092.096,17586.073,1753.824,0,0,0,0,0,1
"89",1995,"AFG","LTU",4046,3993,0,0,0,0,0,0,0,0,NA,7904896,17586.073,3629.102,NA,0,0,0,0,0
"90",1995,"AFG","LUX",5310,5243,0,0,0,0,0,0,0,0,NA,21729574.912,17586.073,408.625,0,0,1,0,0,1
"91",1995,"AFG","LVA",4186,4139,0,0,0,0,0,0,0,0,NA,5235719.68,17586.073,2485.056,9.92999994195998e-05,0,0,0,0,0
"92",1995,"AFG","MAR",6902,6752,0,0,0,0,0,0,0,0,NA,37183959.04,17586.073,26833.094,0.987042009830475,0,0,0,0,1
"93",1995,"AFG","MDA",3626,3554,0,0,0,0,0,0,0,0,NA,1752995.328,17586.073,3675.099,0,0,0,0,0,0
"94",1995,"AFG","MDG",6343,6280,0,0,0,0,0,0,0,0,NA,3159901.184,17586.073,13452.526,0.0168810002505779,0,0,0,0,1
"95",1995,"AFG","MEX",13907,13672,0,0,0,0,0,0,0,0,NA,343792779.264,17586.073,95392.647,0,0,0,0,0,1
"96",1995,"AFG","MKD",4204,4120,0,0,0,0,0,0,0,0,NA,4449375.744,17586.073,1967.013,0.298893004655838,0,0,0,0,0
"97",1995,"AFG","MLI",8058,7943,0,0,0,0,0,0,0,0,NA,2466160.128,17586.073,8988.853,0.794399976730347,0,0,0,0,1
"98",1995,"AFG","MMR",3327,3325,0,0,0,0,0,0,0,0,NA,NA,17586.073,45329.861,0.0357480011880398,0,0,0,0,1
"99",1995,"AFG","MNE",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,17586.073,NA,NA,0,NA,NA,0,NA
"100",1995,"AFG","MNG",3449,3530,0,0,0,0,0,0,0,0,NA,1452164.992,17586.073,2298.063,0.0139020001515746,0,0,0,0,0
"101",1995,"AFG","MOZ",7728,7196,0,0,0,0,0,0,0,0,NA,2246791.424,17586.073,15981.571,0.129089996218681,0,0,0,0,1
"102",1995,"AFG","MRT",8462,8368,0,0,0,0,0,0,0,0,NA,1415296.64,17586.073,2334.388,0.987042009830475,0,0,0,0,1
"103",1995,"AFG","MUS",6178,6137,0,0,0,0,0,0,0,0,NA,4040342.016,17586.073,1122.457,0.162852004170418,0,0,0,0,1
"104",1995,"AFG","MWI",6639,6516,0,0,0,0,0,0,0,0,NA,1397454.08,17586.073,9964.065,0.160866007208824,0,0,0,0,1
"105",1995,"AFG","MYS",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,17586.073,NA,NA,0,NA,NA,0,NA
"106",1995,"AFG","MYS",4836,4991,0,0,0,0,0,0,0,0,NA,88832450.56,17586.073,20725.374,0.490541994571686,0,0,0,0,1
"107",1995,"AFG","NAM",8380,8291,0,0,0,0,0,0,0,0,NA,3942494.464,17586.073,1654.214,0,0,0,0,0,1
"108",1995,"AFG","NER",7080,6831,0,0,0,0,0,0,0,0,NA,1880803.328,17586.073,9167.078,0.872847020626068,0,0,0,0,0
"109",1995,"AFG","NGA",7393,6955,0,0,0,0,0,0,0,0,NA,28546959.36,17586.073,108424.828,0.446850001811981,0,0,0,0,1
"110",1995,"AFG","NIC",14229,14191,0,0,0,0,0,0,0,0,NA,4140470.016,17586.073,4659.458,0,0,0,0,0,1
"111",1995,"AFG","NLD",5366,5318,0,0,0,0,0,0,0,0,NA,444781789.184,17586.073,15459.006,0.00992999970912933,0,1,0,0,1
"112",1995,"AFG","NOR",5017,4973,0,0,0,0,0,0,0,0,NA,148919844.864,17586.073,4359.184,0.000992999994195998,0,0,0,0,1
"113",1995,"AFG","NPL",1713,1759,0,0,0,0,0,0,0,0,NA,4401104.384,17586.073,20587.156,0.029789999127388,0,0,0,0,0
"114",1995,"AFG","NZL",13464,13589,0,0,0,0,0,0,0,0,NA,63437168.64,17586.073,3673.4,0,0,0,0,0,1
"115",1995,"AFG","OMN",1587,1618,0,0,0,0,0,0,0,0,NA,13802600.448,17586.073,2154.6,0.98207700252533,0,0,0,0,0
"116",1995,"AFG","PAK",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,17586.073,NA,NA,0,NA,NA,0,NA
"117",1995,"AFG","PAK",1086,650,1,0,0,0,0,0,0,0,NA,60636069.888,17586.073,126689.575,0.961224019527435,0,0,0,0,1
"118",1995,"AFG","PAN",14174,14122,0,0,0,0,0,0,0,0,NA,7906100.224,17586.073,2757.004,0.044684998691082,0,0,0,0,0
"119",1995,"AFG","PER",15795,15631,0,0,0,0,0,0,0,0,NA,52047687.68,17586.073,23939.26,0,0,0,0,0,1
"120",1995,"AFG","PHL",5622,5879,0,0,0,0,0,0,0,0,NA,74119864.32,17586.073,69606.537,0.0426990017294884,0,0,0,0,1
"121",1995,"AFG","PNG",9522,9608,0,0,0,0,0,0,0,0,NA,4636113.408,17586.073,4715.929,0,0,0,0,0,0
"122",1995,"AFG","POL",4268,4328,0,0,0,0,0,0,0,0,NA,139412439.04,17586.073,38594.997,0,0,0,0,0,1
"123",1995,"AFG","PRI",12480,12427,0,0,0,0,0,0,0,0,NA,42647330.816,17586.073,3683.103,0,0,0,0,0,0
"124",1995,"AFG","PRK",4994,5134,0,0,0,0,0,0,0,0,NA,NA,17586.073,21763.678,0,0,0,0,0,0
"125",1995,"AFG","PRT",6799,6675,0,0,0,0,0,0,0,0,NA,118133637.12,17586.073,10026.176,0,0,1,0,0,1
"126",1995,"AFG","PRY",14848,14719,0,0,0,0,0,0,0,0,NA,9062131.712,17586.073,4801.834,0,0,0,0,0,1
"127",1995,"AFG","PSE",3245,3139,0,0,0,0,0,0,0,0,NA,NA,17586.073,2617,NA,0,0,0,0,0
"128",1995,"AFG","QAT",1985,1875,0,1,0,0,0,0,0,0,NA,8137911.808,17586.073,501.154,0.917532026767731,0,0,0,0,0
"129",1995,"AFG","ROU",3817,3789,0,0,0,0,0,0,0,0,NA,35477057.536,17586.073,22684.271,0.0119160003960133,0,0,0,0,1
"130",1995,"AFG","RUS",3370,2981,0,0,0,0,0,0,0,0,NA,395528503.296,17586.073,148141.006,0.112208999693394,0,0,0,0,0
"131",1995,"AFG","RWA",5742,5648,0,0,0,0,0,0,0,0,NA,1293535.232,17586.073,5663.838,0.0853980034589767,0,0,0,0,0
"132",1995,"AFG","SAU",2426,2581,0,0,0,0,0,0,0,0,NA,142457683.968,17586.073,18567.343,0.981083989143372,0,0,0,0,0
"133",1995,"AFG","SDN",4219,4111,0,0,0,0,0,0,0,0,NA,NA,17586.073,NA,0.724889993667603,0,0,0,0,0
"134",1995,"AFG","SDN",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,17586.073,NA,NA,0,NA,NA,0,NA
"135",1995,"AFG","SEN",8796,8693,0,0,0,0,0,0,0,0,NA,4878718.976,17586.073,8711.528,0.903630018234253,0,0,0,0,1
"136",1995,"AFG","SGP",5147,5211,0,0,0,0,0,0,0,0,NA,87891558.4,17586.073,3524.5,0.172782003879547,0,0,0,0,1
"137",1995,"AFG","SLE",8789,8689,0,0,0,0,0,0,0,0,NA,870758.72,17586.073,3927.105,0.391241997480392,0,0,0,0,1
"138",1995,"AFG","SLV",14202,14171,0,0,0,0,0,0,0,0,NA,9500499.968,17586.073,5748.013,0,0,0,0,0,1
"139",1995,"AFG","SOM",4364,4147,0,0,0,0,0,0,0,0,NA,NA,17586.073,6346.44,0.991014003753662,0,0,0,0,0
"140",1995,"AFG","SRB",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,17586.073,NA,NA,0,NA,NA,0,NA
"141",1995,"AFG","SSD",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,17586.073,NA,NA,0,NA,NA,0,NA
"142",1995,"AFG","SVK",4516,4446,0,0,0,0,0,0,0,0,NA,25733042.176,17586.073,5361.999,0,0,0,0,0,1
"143",1995,"AFG","SVN",4722,4648,0,0,0,0,0,0,0,0,NA,21274122.24,17586.073,1989.872,0.014894999563694,0,0,0,0,1
"144",1995,"AFG","SWE",4599,4661,0,0,0,0,0,0,0,0,NA,264051982.336,17586.073,8826.939,0.000992999994195998,0,1,0,0,1
"145",1995,"AFG","SWZ",7839,7764,0,0,0,0,0,0,0,0,NA,1698989.44,17586.073,963.428,0.000992999994195998,0,0,0,0,1
"146",1995,"AFG","SYR",2902,2839,0,0,0,0,0,0,0,0,NA,11396706.304,17586.073,14338.24,0.889728009700775,0,0,0,0,0
"147",1995,"AFG","TCD",5984,5879,0,0,0,0,0,0,0,0,NA,1445919.872,17586.073,6980.351,0.436919987201691,0,0,0,0,0
